question_response_id,rfx_id,supplier_id,question_id,response_value,response_status
QR-001-Q1,RFX-001,SUP-001,Q1,Confirmed by required delivery date,VERIFIED
QR-001-Q2,RFX-001,SUP-001,Q2,PASS,VERIFIED
QR-001-Q3,RFX-001,SUP-001,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-001-Q4,RFX-001,SUP-001,Q4,Net 30,VERIFIED
QR-001-Q5,RFX-001,SUP-001,Q5,Included,VERIFIED
QR-002-Q1,RFX-001,SUP-002,Q1,Confirmed by required delivery date,VERIFIED
QR-002-Q2,RFX-001,SUP-002,Q2,PASS,VERIFIED
QR-002-Q3,RFX-001,SUP-002,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-002-Q4,RFX-001,SUP-002,Q4,Net 60,VERIFIED
QR-002-Q5,RFX-001,SUP-002,Q5,"Extra, ₹15000 per shipment",VERIFIED
QR-003-Q1,RFX-001,SUP-003,Q1,Confirmed by required delivery date,VERIFIED
QR-003-Q2,RFX-001,SUP-003,Q2,PASS,VERIFIED
QR-003-Q3,RFX-001,SUP-003,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-003-Q4,RFX-001,SUP-003,Q4,Net 30,VERIFIED
QR-003-Q5,RFX-001,SUP-003,Q5,Included,VERIFIED
QR-004-Q1,RFX-001,SUP-004,Q1,Confirmed by required delivery date,VERIFIED
QR-004-Q2,RFX-001,SUP-004,Q2,PASS,VERIFIED
QR-004-Q3,RFX-001,SUP-004,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-004-Q4,RFX-001,SUP-004,Q4,Net 15,VERIFIED
QR-004-Q5,RFX-001,SUP-004,Q5,"Extra, ₹8000 per shipment",VERIFIED
QR-005-Q1,RFX-001,SUP-005,Q1,Confirmed by required delivery date,VERIFIED
QR-005-Q2,RFX-001,SUP-005,Q2,PASS,VERIFIED
QR-005-Q3,RFX-001,SUP-005,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-005-Q4,RFX-001,SUP-005,Q4,Net 45,VERIFIED
QR-005-Q5,RFX-001,SUP-005,Q5,Included,VERIFIED
QR-006-Q1,RFX-001,SUP-006,Q1,Confirmed by required delivery date,VERIFIED
QR-006-Q2,RFX-001,SUP-006,Q2,CONDITIONAL,REVIEW_REQUIRED
QR-006-Q3,RFX-001,SUP-006,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-006-Q4,RFX-001,SUP-006,Q4,Net 30,VERIFIED
QR-006-Q5,RFX-001,SUP-006,Q5,Included,VERIFIED
QR-007-Q1,RFX-001,SUP-007,Q1,Confirmed by required delivery date,VERIFIED
QR-007-Q2,RFX-001,SUP-007,Q2,PASS,VERIFIED
QR-007-Q3,RFX-001,SUP-007,Q3,30 days lead time; 250k units/month capacity,VERIFIED
QR-007-Q4,RFX-001,SUP-007,Q4,Net 30,VERIFIED
QR-007-Q5,RFX-001,SUP-007,Q5,Included,VERIFIED
QR-8-Q1,RFX-001,SUP-008,Q1,NO_RESPONSE,MISSING
QR-8-Q2,RFX-001,SUP-008,Q2,NO_RESPONSE,MISSING
QR-8-Q3,RFX-001,SUP-008,Q3,NO_RESPONSE,MISSING
QR-8-Q4,RFX-001,SUP-008,Q4,NO_RESPONSE,MISSING
QR-8-Q5,RFX-001,SUP-008,Q5,NO_RESPONSE,MISSING
