rfx_line_id,rfx_id,line_number,sku_id,buyer_description,specification,required_quantity,buyer_uom,required_delivery_date,required_lead_time_days,quality_requirement,max_moq,line_status,category
LF-01,RFX-001,1,SKU-006,SS Item 006,EK-31-SS-006,20000.0,BAG,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Shipping Supplies
LF-02,RFX-001,2,SKU-011,LP Item 011,HS-WRAP-LP-011,12000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Labels & Print
LF-03,RFX-001,3,SKU-016,FW Item 016,UV-RES-FW-016,15000.0,ROLL,2026-10-15,14,PASS_REQUIRED,0,ACTIVE,Films & Wraps
LF-04,RFX-001,4,SKU-021,ST Item 021,FB-38-ST-021,8000.0,EA,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Strapping & Tapes
LF-05,RFX-001,5,SKU-026,FP Item 026,S-PLY-5-FP-026,30000.0,EA,2026-10-15,8,PASS_REQUIRED,0,ACTIVE,Foam & Padding
LF-06,RFX-001,6,SKU-031,CB Item 031,S-PLY-3-CB-031,6000.0,EA,2026-10-15,15,PASS_REQUIRED,0,ACTIVE,Corrugated Boxes
LF-07,RFX-001,7,SKU-036,SS Item 036,EK-31-SS-036,1000.0,BAG,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Shipping Supplies
LF-08,RFX-001,8,SKU-041,LP Item 041,HS-WRAP-LP-041,7500.0,EA,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Labels & Print
LF-09,RFX-001,9,SKU-046,FW Item 046,UV-RES-FW-046,4500.0,ROLL,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Films & Wraps
LF-10,RFX-001,10,SKU-003,ST Item 003,FB-38-ST-003,9000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Strapping & Tapes
LF-11,RFX-001,11,SKU-008,FP Item 008,S-PLY-5-FP-008,18000.0,EA,2026-10-15,9,PASS_REQUIRED,0,ACTIVE,Foam & Padding
LF-12,RFX-001,12,SKU-013,CB Item 013,S-PLY-3-CB-013,5000.0,EA,2026-10-15,14,PASS_REQUIRED,0,ACTIVE,Corrugated Boxes
LF-13,RFX-001,13,SKU-018,SS Item 018,EK-31-SS-018,27000.0,BAG,2026-10-15,11,PASS_REQUIRED,0,ACTIVE,Shipping Supplies
LF-14,RFX-001,14,SKU-023,LP Item 023,HS-WRAP-LP-023,7000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Labels & Print
LF-15,RFX-001,15,SKU-028,FW Item 028,UV-RES-FW-028,11000.0,ROLL,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Films & Wraps
LF-16,RFX-001,16,SKU-033,ST Item 033,FB-38-ST-033,14000.0,EA,2026-10-15,13,PASS_REQUIRED,0,ACTIVE,Strapping & Tapes
LF-17,RFX-001,17,SKU-038,FP Item 038,S-PLY-5-FP-038,3500.0,EA,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Foam & Padding
LF-18,RFX-001,18,SKU-043,CB Item 043,S-PLY-3-CB-043,22000.0,EA,2026-10-15,11,PASS_REQUIRED,0,ACTIVE,Corrugated Boxes
LF-19,RFX-001,19,SKU-048,SS Item 048,EK-31-SS-048,9500.0,BAG,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Shipping Supplies
LF-20,RFX-001,20,SKU-005,LP Item 005,HS-WRAP-LP-005,16000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Labels & Print
LF-21,RFX-001,21,SKU-010,FW Item 010,UV-RES-FW-010,13000.0,ROLL,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Films & Wraps
LF-22,RFX-001,22,SKU-015,ST Item 015,FB-38-ST-015,4000.0,EA,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Strapping & Tapes
LF-23,RFX-001,23,SKU-020,FP Item 020,S-PLY-5-FP-020,200000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Foam & Padding
LF-24,RFX-001,24,SKU-025,CB Item 025,S-PLY-3-CB-025,8500.0,EA,2026-10-15,14,PASS_REQUIRED,0,ACTIVE,Corrugated Boxes
LF-25,RFX-001,25,SKU-030,SS Item 030,EK-31-SS-030,6500.0,BAG,2026-10-15,10,PASS_REQUIRED,0,ACTIVE,Shipping Supplies
LF-26,RFX-001,26,SKU-035,LP Item 035,HS-WRAP-LP-035,61000.0,EA,2026-10-15,15,PASS_REQUIRED,0,ACTIVE,Labels & Print
LF-27,RFX-001,27,SKU-040,FW Item 040,UV-RES-FW-040,10000.0,ROLL,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Films & Wraps
LF-28,RFX-001,28,SKU-045,ST Item 045,FB-38-ST-045,3.0,EA,2026-10-15,13,PASS_REQUIRED,0,ACTIVE,Strapping & Tapes
LF-29,RFX-001,29,SKU-002,FP Item 002,S-PLY-5-FP-002,25000.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Foam & Padding
LF-30,RFX-001,30,SKU-007,CB Item 007,S-PLY-3-CB-007,2.0,EA,2026-10-15,12,PASS_REQUIRED,0,ACTIVE,Corrugated Boxes
