supplier_product_id,supplier_id,sku_id,supplier_product_code,supplier_product_name,supplier_description,supplier_base_uom,pack_size,pack_size_uom,conversion_factor,conversion_source,mapping_status,mapping_type,mapping_confidence
SP-001,SUP-001,SKU-002,A-002,FP Item 002,S-PLY-5-FP-002 – PackRight Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.73
SP-002,SUP-001,SKU-003,A-003,ST Item 003,FB-38-ST-003 – PackRight Industries grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.81
SP-003,SUP-001,SKU-005,A-005,LP Item 005,HS-WRAP-LP-005 – PackRight Industries grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.83
SP-004,SUP-001,SKU-006,A-006,SS Item 006,EK-31-SS-006 – PackRight Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.8
SP-005,SUP-001,SKU-007,A-007,CB Item 007,S-PLY-3-CB-007 – PackRight Industries grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.84
SP-006,SUP-001,SKU-008,A-008,FP Item 008,S-PLY-5-FP-008 – PackRight Industries grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.81
SP-007,SUP-001,SKU-010,A-010,FW Item 010,UV-RES-FW-010 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.82
SP-008,SUP-001,SKU-011,A-011,LP Item 011,HS-WRAP-LP-011 – PackRight Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.7
SP-009,SUP-001,SKU-013,A-013,CB Item 013,S-PLY-3-CB-013 – PackRight Industries grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.66
SP-010,SUP-001,SKU-015,A-015,ST Item 015,FB-38-ST-015 – PackRight Industries grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.72
SP-011,SUP-001,SKU-016,A-016,FW Item 016,UV-RES-FW-016 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,AI_SUGGESTED,DIRECT,0.92
SP-012,SUP-001,SKU-018,A-018,SS Item 018,EK-31-SS-018 – PackRight Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.63
SP-013,SUP-001,SKU-020,A-020,FP Item 020,S-PLY-5-FP-020 – PackRight Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.75
SP-014,SUP-001,SKU-021,A-021,ST Item 021,FB-38-ST-021 – PackRight Industries grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.78
SP-015,SUP-001,SKU-023,A-023,LP Item 023,HS-WRAP-LP-023 – PackRight Industries grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.83
SP-016,SUP-001,SKU-025,A-025,CB Item 025,S-PLY-3-CB-025 – PackRight Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.78
SP-017,SUP-001,SKU-026,A-026,FP Item 026,S-PLY-5-FP-026 – PackRight Industries grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.95
SP-018,SUP-001,SKU-028,A-028,FW Item 028,UV-RES-FW-028 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.98
SP-019,SUP-001,SKU-030,A-030,SS Item 030,EK-31-SS-030 – PackRight Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.84
SP-020,SUP-001,SKU-031,A-031,CB Item 031,S-PLY-3-CB-031 – PackRight Industries grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.7
SP-021,SUP-001,SKU-033,A-033,ST Item 033,FB-38-ST-033 – PackRight Industries grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.95
SP-022,SUP-001,SKU-035,A-035,LP Item 035,HS-WRAP-LP-035 – PackRight Industries grade,BOX,50.0,buyer units,50.0,MASTER,AI_SUGGESTED,DIRECT,0.95
SP-023,SUP-001,SKU-036,A-036,SS Item 036,EK-31-SS-036 – PackRight Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.8
SP-024,SUP-001,SKU-038,A-038,FP Item 038,S-PLY-5-FP-038 – PackRight Industries grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.92
SP-025,SUP-001,SKU-040,A-040,FW Item 040,UV-RES-FW-040 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.96
SP-026,SUP-001,SKU-041,A-041,LP Item 041,HS-WRAP-LP-041 – PackRight Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.98
SP-027,SUP-001,SKU-043,A-043,CB Item 043,S-PLY-3-CB-043 – PackRight Industries grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.71
SP-028,SUP-001,SKU-045,A-045,ST Item 045,FB-38-ST-045 – PackRight Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.7
SP-029,SUP-001,SKU-046,A-046,FW Item 046,UV-RES-FW-046 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.93
SP-030,SUP-001,SKU-048,A-048,SS Item 048,EK-31-SS-048 – PackRight Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.72
SP-031,SUP-001,SKU-001,A-001,CB Item 001,S-PLY-3-CB-001 – PackRight Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.72
SP-032,SUP-001,SKU-004,A-004,FW Item 004,UV-RES-FW-004 – PackRight Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.64
SP-033,SUP-002,SKU-002,B-002,FP Item 002,S-PLY-5-FP-002 – CorruCore Packaging Ltd grade,CARTON,500.0,buyer units,500.0,MASTER,AI_SUGGESTED,DIRECT,0.91
SP-034,SUP-002,SKU-003,B-003,ST Item 003,FB-38-ST-003 – CorruCore Packaging Ltd grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.71
SP-035,SUP-002,SKU-005,B-005,LP Item 005,HS-WRAP-LP-005 – CorruCore Packaging Ltd grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.68
SP-036,SUP-002,SKU-006,B-006,SS Item 006,EK-31-SS-006 – CorruCore Packaging Ltd grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.85
SP-037,SUP-002,SKU-007,B-007,CB Item 007,S-PLY-3-CB-007 – CorruCore Packaging Ltd grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.65
SP-038,SUP-002,SKU-008,B-008,FP Item 008,S-PLY-5-FP-008 – CorruCore Packaging Ltd grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.92
SP-039,SUP-002,SKU-010,B-010,FW Item 010,UV-RES-FW-010 – CorruCore Packaging Ltd grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.65
SP-040,SUP-002,SKU-011,B-011,LP Item 011,HS-WRAP-LP-011 – CorruCore Packaging Ltd grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.99
SP-041,SUP-002,SKU-013,B-013,CB Item 013,S-PLY-3-CB-013 – CorruCore Packaging Ltd grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.67
SP-042,SUP-002,SKU-015,B-015,ST Item 015,FB-38-ST-015 – CorruCore Packaging Ltd grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.67
SP-043,SUP-002,SKU-016,B-016,FW Item 016,UV-RES-FW-016 – CorruCore Packaging Ltd grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.8
SP-044,SUP-002,SKU-018,B-018,SS Item 018,EK-31-SS-018 – CorruCore Packaging Ltd grade,BAG,1.0,BAG,1.0,MASTER,AI_SUGGESTED,DIRECT,0.91
SP-045,SUP-002,SKU-020,B-020,FP Item 020,S-PLY-5-FP-020 – CorruCore Packaging Ltd grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.81
SP-046,SUP-002,SKU-021,B-021,ST Item 021,FB-38-ST-021 – CorruCore Packaging Ltd grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.89
SP-047,SUP-002,SKU-023,B-023,LP Item 023,HS-WRAP-LP-023 – CorruCore Packaging Ltd grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.71
SP-048,SUP-002,SKU-025,B-025,CB Item 025,S-PLY-3-CB-025 – CorruCore Packaging Ltd grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.95
